Variant,Score,ScoreDiff,Probability,Generation
C,1.25,0.0,0.18932421675,37958
C,1.25,-0.25,0.00656082462135,37959
C,1.25,-0.25,0.00656082462135,37960
C,1.25,-0.25,0.00656082462135,37961
C,1.25,-0.25,0.00656082462135,37962
C,1.25,-0.25,0.00656082462135,37963
C,1.25,-0.1,0.0422072504131,37964
C,1.25,-0.25,0.00656082462135,37965
C,1.25,-0.1,0.0422072504131,37966
C,1.25,-0.25,0.00656082462135,37967
C,1.25,-0.25,0.00656082462135,37968
C,1.25,-0.25,0.00656082462135,37969
C,1.25,-0.1,0.0422072504131,37970
C,1.25,-0.25,0.00656082462135,37971
C,1.25,-0.25,0.00656082462135,37972
B,1.15,0.0,0.0422072504131,37973
B,1.15,0.1,0.18932421675,37974
B,1.15,-0.15,0.0209871613723,37975
B,1.15,0.1,0.18932421675,37976
C,1.25,0.0,0.18932421675,37977
C,1.25,-0.25,0.00656082462135,37978
C,1.25,-0.1,0.0422072504131,37979
C,1.25,-0.25,0.00656082462135,37980
C,1.25,-0.1,0.0422072504131,37981
C,1.25,-0.25,0.00656082462135,37982
C,1.25,-0.1,0.0422072504131,37983
C,1.25,-0.25,0.00656082462135,37984
C,1.25,-0.25,0.00656082462135,37985
C,1.25,-0.25,0.00656082462135,37986
C,1.25,-0.25,0.00656082462135,37987
C,1.25,-0.25,0.00656082462135,37988
C,1.25,-0.25,0.00656082462135,37989
C,1.25,-0.25,0.00656082462135,37990
C,1.25,-0.1,0.0422072504131,37991
C,1.25,-0.25,0.00656082462135,37992
C,1.25,-0.1,0.0422072504131,37993
C,1.25,-0.1,0.0422072504131,37994
C,1.25,-0.1,0.0422072504131,37995
C,1.25,-0.1,0.0422072504131,37996
C,1.25,-0.25,0.00656082462135,37997
C,1.25,-0.25,0.00656082462135,37998
C,1.25,-0.1,0.0422072504131,37999
C,1.25,-0.25,0.00656082462135,38000
C,1.25,-0.1,0.0422072504131,38001
C,1.25,-0.25,0.00656082462135,38002
C,1.25,-0.25,0.00656082462135,38003
C,1.25,-0.1,0.0422072504131,38004
C,1.25,-0.1,0.0422072504131,38005
C,1.25,-0.25,0.00656082462135,38006
C,1.25,-0.25,0.00656082462135,38007
C,1.25,-0.25,0.00656082462135,38008
C,1.25,-0.1,0.0422072504131,38009
C,1.25,-0.1,0.0422072504131,38010
C,1.25,-0.25,0.00656082462135,38011
C,1.25,-0.1,0.0422072504131,38012
C,1.25,-0.25,0.00656082462135,38013
C,1.25,-0.25,0.00656082462135,38014
C,1.25,-0.25,0.00656082462135,38015
C,1.25,-0.25,0.00656082462135,38016
C,1.25,-0.1,0.0422072504131,38017
C,1.25,-0.1,0.0422072504131,38018
C,1.25,-0.1,0.0422072504131,38019
C,1.25,-0.1,0.0422072504131,38020
C,1.25,-0.1,0.0422072504131,38021
C,1.25,-0.1,0.0422072504131,38022
C,1.25,-0.1,0.0422072504131,38023
C,1.25,-0.25,0.00656082462135,38024
C,1.25,-0.25,0.00656082462135,38025
C,1.25,-0.25,0.00656082462135,38026
C,1.25,-0.1,0.0422072504131,38027
C,1.25,-0.25,0.00656082462135,38028
C,1.25,-0.1,0.0422072504131,38029
C,1.25,-0.1,0.0422072504131,38030
C,1.25,-0.1,0.0422072504131,38031
C,1.25,-0.1,0.0422072504131,38032
C,1.25,-0.25,0.00656082462135,38033
C,1.25,-0.25,0.00656082462135,38034
C,1.25,-0.1,0.0422072504131,38035
C,1.25,-0.25,0.00656082462135,38036
C,1.25,-0.1,0.0422072504131,38037
C,1.25,-0.25,0.00656082462135,38038
C,1.25,-0.25,0.00656082462135,38039
C,1.25,-0.1,0.0422072504131,38040
C,1.25,-0.1,0.0422072504131,38041
C,1.25,-0.1,0.0422072504131,38042
C,1.25,-0.1,0.0422072504131,38043
C,1.25,-0.1,0.0422072504131,38044
C,1.25,-0.1,0.0422072504131,38045
C,1.25,-0.25,0.00656082462135,38046
